2theta,Experimental
42.4646,302.69
42.4845,274.49
42.5045,292.21
42.5244,471.14
42.5444,334.64
42.5643,374.39
42.5843,401.36
42.6042,413.69
42.6241,456.18
42.6441,378.5
42.664,461.01
42.684,375.04
42.7039,408.32
42.7238,396.75
42.7438,407.38
42.7637,362.69
42.7837,341.52
42.8036,320.01
42.8236,390.41
42.8435,384.54
42.8634,377.18
42.8834,331.19
42.9033,432.05
42.9233,471.12
42.9432,549.8
42.9632,519.8
42.9831,524.68
43.003,594.44
43.023,547.93
43.0429,611.86
43.0629,538.4
43.0828,597.64
43.1027,683.32
43.1227,598.7
43.1426,661.83
43.1626,653.17
43.1825,741.56
43.2025,665.12
43.2224,729.53
43.2423,713.9
43.2623,716.56
43.2822,929.77
43.3022,1012.46
43.3221,935.53
43.342,961.18
43.362,1147.98
43.3819,1164.84
43.4019,1476.28
43.4218,1492.68
43.4418,1690.37
43.4617,1749.52
43.4816,2003.29
43.5016,2332.46
43.5215,2729.39
43.5415,3055.42
43.5614,3536.01
43.5814,4182.76
43.6013,4728.02
43.6212,5270.47
43.6412,5977.8
43.6611,6690.12
43.6811,7109.21
43.701,7385.22
43.7209,7737.77
43.7409,8077.4
43.7608,8360.27
43.7808,8060.72
43.8007,7926.93
43.8207,7718.02
43.8406,7429.83
43.8605,7006.54
43.8805,6453.37
43.9004,5798.5
43.9204,5371.83
43.9403,4950.62
43.9602,4073.77
43.9802,3875.77
44.0001,3462.32
44.0201,3094.58
44.04,2694.41
44.06,2308.71
44.0799,2193.24
44.0998,1895
44.1198,1828.6
44.1397,1682.51
44.1597,1619.83
44.1796,1566.46
44.1996,1489.53
44.2195,1509.98
44.2394,1445
44.2594,1338.24
44.2793,1363.29
44.2993,1396.16
44.3192,1423.5
44.3391,1464.52
44.3591,1400.75
44.379,1432.57
44.399,1595.89
44.4189,1665.97
44.4389,1653.73
44.4588,1757.22
44.4787,1839.11
44.4987,1976.79
44.5186,2101.59
44.5386,2268.31
44.5585,2451.16
44.5784,2833.74
44.5984,3187.69
44.6183,3492.86
44.6383,3792.93
44.6582,4310.06
44.6782,4574.86
44.6981,4981.48
44.718,5328.71
44.738,5685.96
44.7579,6057.3
44.7779,6161.95
44.7978,6365.28
44.8178,6514.35
44.8377,6372.8
44.8576,6391.59
44.8776,6142.93
44.8975,5880.49
44.9175,5786.31
44.9374,5561.09
44.9573,5077.57
44.9773,4661.69
44.9972,4350.76
45.0172,4072.19
45.0371,3649.31
45.0571,3291.18
45.077,2870.11
45.0969,2681.92
45.1169,2272.13
45.1368,2087.87
45.1568,1838.68
45.1767,1580.75
45.1966,1303.4
45.2166,1184.58
45.2365,1042.59
45.2565,1056.03
45.2764,1019.49
45.2964,986.11
45.3163,925.62
45.3362,811.94
45.3562,752.22
45.3761,770.49
45.3961,712.19
45.416,597.78
45.436,624.08
45.4559,593.9
45.4758,607.28
45.4958,720.55
45.5157,591.48
45.5357,530.9
45.5556,483.63
45.5755,519.17
45.5955,388.41
45.6154,324.09
45.6354,457.03
45.6553,319.06
45.6753,296.24
45.6952,415.98
45.7151,450.44
45.7351,450.68
45.755,407.46
45.775,440
45.7949,430.52
45.8148,477.19
45.8348,352.75
45.8547,403.76
45.8747,356.75
45.8946,375.3
45.9146,480.75
45.9345,407.76
45.9544,462.99
45.9744,399.97
45.9943,392.35
46.0143,335.63
46.0342,407.15
46.0542,459.11
46.0741,389.88
46.094,407.94
46.114,428.36
46.1339,431.26
46.1539,223.32
46.1738,399.04
46.1937,255.25
46.2137,345.29
46.2336,300.11
46.2536,171.87
46.2735,420.67
46.2935,331.67
46.3134,324.16
46.3333,313.29
46.3533,326.56
46.3732,199.32
46.3932,344
46.4131,322.84
46.4331,350.63
46.453,402.64
46.4729,346.93
46.4929,251.75
46.5128,305.99
46.5328,361.72
46.5527,239.59
46.5726,211.63
46.5926,323.37
46.6125,338.76
46.6325,270.15
46.6524,253.43
46.6724,262.52
46.6923,317.38
46.7122,391.51
46.7322,335.95
46.7521,286.09
46.7721,357.9
46.792,309.58
46.8119,305.76
46.8319,229.23
46.8518,163.71
46.8718,343.15
46.8917,248.14
46.9117,309.7
46.9316,301.62
46.9515,265.03
46.9715,337.35
46.9914,253.24
47.0114,340.25
47.0313,314.49
47.0513,258.77
47.0712,388.05
47.0911,406.53
47.1111,386.04
47.131,333.99
47.151,307.4
47.1709,311.53
47.1908,403.85
47.2108,362.2
47.2307,319.69
47.2507,260.49
47.2706,203.37
47.2906,295.3
47.3105,380.42
47.3304,348.54
47.3504,292.51
47.3703,359.32
47.3903,275.84
47.4102,268.47
47.4301,251.39
47.4501,312.46
47.47,287.12
47.49,337.96
47.5099,282.47
47.5299,259.86
47.5498,262.61
47.5697,303.63
47.5897,316.92
47.6096,214.62
47.6296,256.75
47.6495,310.81
47.6695,266.83
47.6894,246.07
47.7093,322.67
47.7293,276.95
47.7492,327.51
47.7692,163.52
47.7891,212.78
47.809,355.6
47.829,313.86
47.8489,223.28
47.8689,233.52
47.8888,316.15
47.9088,331.38
47.9287,280.9
47.9486,196.95
47.9686,250.3
47.9885,209.16
48.0085,275.14
48.0284,180.13
48.0483,202.49
48.0683,284.95
48.0882,431.16
48.1082,264.64
48.1281,265.45
48.1481,300.41
48.168,293.4
48.1879,343.95
48.2079,274.37
48.2278,306.22
48.2478,389.9
48.2677,245.01
48.2877,221.95
48.3076,276.99
48.3275,375.16
48.3475,226.63
48.3674,358.86
48.3874,351.36
48.4073,362.48
48.4272,319.61
48.4472,188.62
48.4671,379.49
48.4871,371.88
48.507,262.23
